,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
0,52.65,-42.7826,147.0587,70,5.01,94,AU,1627433520,new norfolk
1,51.8,-46.6,168.3333,70,11.18,44,NZ,1627433142,bluff
2,61.54,62.456,-114.3525,48,1.99,40,CA,1627433623,yellowknife
3,83.26,35.7333,140.8333,80,20.27,100,JP,1627433212,hasaki
4,82.13,-2.5333,112.95,74,4.59,77,ID,1627433625,sampit
5,71.69,-0.7393,-90.3518,82,9.26,23,EC,1627433311,puerto ayora
6,73.96,39.8885,4.2658,83,4.61,0,ES,1627433690,mahon
7,65.84,42.6001,-73.9662,91,1.52,100,US,1627433437,albany
8,46.56,-37.6167,-73.65,80,22.1,0,CL,1627433116,lebu
9,80.6,22.0752,-159.319,75,1.99,90,US,1627433513,kapaa
10,50.88,-33.9258,18.4232,90,2.3,20,ZA,1627433472,cape town
11,64.58,50.6996,-127.4199,72,11.5,20,CA,1627433409,port hardy
12,71.94,37.7167,20.8333,66,6.87,0,GR,1627433690,lithakia
13,75.38,6.189,-67.4859,92,3.27,100,CO,1627433431,puerto carreno
14,51.04,-33.65,115.3333,75,16.49,58,AU,1627433565,busselton
15,46.62,60.9167,-46.05,73,2.86,99,GL,1627433331,narsaq
16,39.25,68.75,161.3,73,19.48,100,RU,1627433690,cherskiy
17,73.87,-17.5333,146.0333,64,4.23,84,AU,1627433691,innisfail
18,74.12,-23.1203,-134.9692,78,14.72,100,PF,1627433526,rikitea
19,61.16,41.7178,-8.8571,89,12.59,4,PT,1627433691,areosa
20,37.06,-54.8,-68.3,93,1.14,90,AR,1627433677,ushuaia
21,48.13,-24.7911,-50.0119,92,6.53,100,BR,1627433670,castro
22,37.56,65.6145,-37.6368,80,7.87,23,GL,1627433121,tasiilaq
23,74.3,-5.1989,-35.4608,88,10.58,11,BR,1627433591,touros
24,84.69,-2.5744,150.7967,72,8.86,11,PG,1627432930,kavieng
25,60.58,51.2467,58.2391,51,4.68,5,RU,1627433692,akkermanovka
26,52.81,-34.4187,19.2345,69,14.47,97,ZA,1627433545,hermanus
27,77.97,11.8485,-86.4384,78,11.7,100,NI,1627433693,san rafael del sur
28,60.71,-32.5,137.7667,53,17.56,0,AU,1627433693,port augusta
